number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
32,0.9961991903048013,2026-04-27 16:40:48.678257,2026-04-27 16:40:54.727994,0 days 00:00:06.049737,0.9767209907553476,3.004492118250908,0.016435058767825316,7,7,1446,5.466511632602962,0.11341415190735032,0.6568725021695886,1445,COMPLETE
33,0.9963383666620693,2026-04-27 16:40:54.728810,2026-04-27 16:41:00.523269,0 days 00:00:05.794459,0.9449192886119924,2.7302674115401535,0.027004065821397978,8,9,1147,9.658251692920247,1.7828767456160155,0.6206592060614683,1146,COMPLETE
34,0.9961580153668628,2026-04-27 16:41:00.524144,2026-04-27 16:41:06.286267,0 days 00:00:05.762123,0.8943819820367952,2.7048063301712557,0.02875391271850704,8,9,1134,9.157965241711546,1.1915274101875157,0.6611334254071319,1126,COMPLETE
35,0.9955980436876268,2026-04-27 16:41:06.286833,2026-04-27 16:41:13.450899,0 days 00:00:07.164066,0.9396910410460113,3.3899488191207245,0.0353772385753757,9,10,1064,5.248469195777018,2.514877259321245,0.8649243849802012,1062,COMPLETE
36,0.9935444798236925,2026-04-27 16:41:13.451577,2026-04-27 16:41:15.812816,0 days 00:00:02.361239,0.7706764916229043,3.7489167941773807,0.10703603482861507,8,9,1286,0.04674120718182863,2.066200719991522,0.6273600182422984,479,COMPLETE
37,0.9957211158159224,2026-04-27 16:41:15.813306,2026-04-27 16:41:18.172515,0 days 00:00:02.359209,0.8740679659140748,2.6616705818351183,0.05713159677248741,6,3,774,0.002668426846875736,8.460893969624665,0.6854134673503596,772,COMPLETE
38,0.9958493853386182,2026-04-27 16:41:18.173069,2026-04-27 16:41:22.907977,0 days 00:00:04.734908,0.9045863421777436,1.3973957847702756,0.04272370071773187,7,8,1178,9.696594759541222,0.017255434639762594,0.8010530483085985,1177,COMPLETE
39,0.9948735481169653,2026-04-27 16:41:22.908481,2026-04-27 16:41:26.998963,0 days 00:00:04.090482,0.9429076084815688,2.132195558957914,0.07243236814497776,10,10,1343,0.022956010297358567,0.48777516267660076,0.6508372099554507,515,COMPLETE
40,0.9925068227140957,2026-04-27 16:41:26.999711,2026-04-27 16:41:28.174724,0 days 00:00:01.175013,0.9777708022912821,3.2725400081205507,0.1984756261353009,4,5,851,0.0010134446798603573,0.00866843961872155,0.7582572633942269,762,COMPLETE
41,0.9962181573902416,2026-04-27 16:41:28.175218,2026-04-27 16:41:33.478910,0 days 00:00:05.303692,0.9998645017303328,0.916626817329524,0.025698348297395538,7,6,1423,1.8612443869867388,0.1926865110964528,0.6161482660160436,1422,COMPLETE
42,0.9961088090042625,2026-04-27 16:41:33.479672,2026-04-27 16:41:41.312695,0 days 00:00:07.833023,0.9138167592998234,0.5082227254974695,0.02106273580076825,8,7,1496,5.344208440035907,1.0072776847574523,0.6178291080349618,1494,COMPLETE
43,0.9963029371018389,2026-04-27 16:41:41.313634,2026-04-27 16:41:46.829778,0 days 00:00:05.516144,0.9647507075656584,3.907162767825695,0.026771523242062854,7,8,1398,2.1424950948195542,0.04884400383531708,0.6020537534071749,1397,COMPLETE
44,0.9960090121433051,2026-04-27 16:41:46.831371,2026-04-27 16:41:53.767118,0 days 00:00:06.935747,0.9789582362070978,0.1993574373638397,0.016031613761683647,8,9,1256,1.0019938500149463,0.002544477613502031,0.6659182861261109,1254,COMPLETE
45,0.9954387938093306,2026-04-27 16:41:53.767899,2026-04-27 16:41:58.464886,0 days 00:00:04.696987,0.9304605659958329,1.457507903538119,0.0236300819327869,7,7,1077,5.978210268115096,0.3264534815275059,0.9314283777233046,1073,COMPLETE
46,0.9953420004249555,2026-04-27 16:41:58.465461,2026-04-27 16:41:59.958241,0 days 00:00:01.492780,0.99859276180781,0.9036236379154778,0.049046607565381525,6,8,478,3.909517614964322,4.931603458294542,0.6451651245833726,474,COMPLETE
47,0.9953337206614357,2026-04-27 16:41:59.958887,2026-04-27 16:42:03.037431,0 days 00:00:03.078544,0.9440849540490455,2.172067766439642,0.031372343948625224,5,6,1317,1.6339532889442594,0.17977723127959194,0.7290571324560375,1316,COMPLETE
48,0.9948892688178542,2026-04-27 16:42:03.038245,2026-04-27 16:42:08.360963,0 days 00:00:05.322718,0.7271963072968256,2.8616705185791416,0.019277650305209285,8,4,1000,0.19966193821541683,0.01564138945696518,0.6948697280136424,999,COMPLETE
49,0.9960484387283489,2026-04-27 16:42:08.361712,2026-04-27 16:42:17.820048,0 days 00:00:09.458336,0.915714726978855,0.27164250115415156,0.013238298495074432,9,7,1449,0.5474628305847207,1.7877790725816005,0.613184837352128,1448,COMPLETE
