number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
12,0.999718239800146,2026-04-27 16:45:39.112471,2026-04-27 16:45:40.739791,0 days 00:00:01.627320,0.8155245426273388,0.015542087542043885,0.023662641128950918,3,7,1458,0.0070347541225021975,0.13878912898358084,0.7382774980993067,1457,COMPLETE
13,0.9994724847674837,2026-04-27 16:45:40.740305,2026-04-27 16:45:45.684094,0 days 00:00:04.943789,0.8216565119174517,0.09193578409834442,0.025851586556092866,7,7,1495,0.005617307123414826,0.2649475920360232,0.6038932576378994,1494,COMPLETE
14,0.9996225614527015,2026-04-27 16:45:45.684685,2026-04-27 16:45:46.844121,0 days 00:00:01.159436,0.9978298864744675,1.69551097097669,0.029991169691550097,4,9,1273,0.0014085993585763552,0.3698537577333851,0.9984067957444854,847,COMPLETE
15,0.9997172853946044,2026-04-27 16:45:46.845070,2026-04-27 16:45:48.697861,0 days 00:00:01.852791,0.7675997745870428,0.5243965125221103,0.018199663981438467,4,6,1298,0.012802832970535378,0.03472244772965071,0.7553082698269054,1297,COMPLETE
16,0.9989765685545685,2026-04-27 16:45:48.698507,2026-04-27 16:45:50.554445,0 days 00:00:01.855938,0.8669169312890734,1.7919514239527097,0.03592564368681243,8,8,1270,0.2386157842701612,0.08458573884856921,0.7044935069283973,775,COMPLETE
17,0.9995757548497525,2026-04-27 16:45:50.555038,2026-04-27 16:45:53.418101,0 days 00:00:02.863063,0.7722379342500078,0.6147318404832334,0.018072696289849012,6,6,1377,0.003759279041963181,0.5071388072498377,0.7984644697875064,1370,COMPLETE
18,0.9986971529735614,2026-04-27 16:45:53.418723,2026-04-27 16:45:54.198559,0 days 00:00:00.779836,0.8558129624201825,0.29114365846621426,0.01844482500231795,4,10,466,0.0010328443565019768,0.06542481183048415,0.6004749960247624,465,COMPLETE
19,0.9994739123718897,2026-04-27 16:45:54.199187,2026-04-27 16:45:55.507407,0 days 00:00:01.308220,0.9366870345416809,1.7232043495452978,0.03566563669458417,6,8,1191,0.021614632501847388,0.004767888795794931,0.8745750345400765,632,COMPLETE
20,0.9994149291540503,2026-04-27 16:45:55.508060,2026-04-27 16:45:55.869680,0 days 00:00:00.361620,0.8651250666290947,3.5835953820045923,0.13121025882778947,3,5,1402,0.0027316849707123424,0.0011129709953152695,0.7786386504527734,296,COMPLETE
21,0.9997270451121791,2026-04-27 16:45:55.870406,2026-04-27 16:45:57.515320,0 days 00:00:01.644914,0.8098924806064848,0.02665842474972329,0.02506523111038057,3,7,1464,0.010486469408445942,0.16899118441550703,0.7384841215145549,1463,COMPLETE
