rover,algorithm,target,predicted,evaluator,abs_error,rel_error
Yutu-2,mlp_joint,energy_margin_raw_pct,886.7721171668827,649.7887812270878,236.98333593979487,0.36470826026307473
Yutu-2,mlp_joint,slope_capability_deg,20.90240419570221,20.97896300311567,-0.0765588074134591,-0.0036493132383182644
Yutu-2,mlp_joint,total_mass_kg,70.06120537518564,70.4529657566495,-0.39176038146386816,-0.005560594607429893
Yutu-2,logreg,motor_torque_ok,0.9999998680813312,1.0,-1.3191866876649527e-07,
Yutu-2,xgboost,motor_torque_ok,0.9999985694885254,1.0,-1.430511474609375e-06,
Sojourner,ridge,range_km,62.72125758248373,0.15,62.57125758248373,417.1417172165582
Sojourner,ridge,energy_margin_raw_pct,969.1573484329035,369.7421410128902,599.4152074200133,1.621170921383062
Sojourner,ridge,slope_capability_deg,6.027873359914539,4.926664112670481,1.101209247244058,0.22352026078091033
Sojourner,ridge,total_mass_kg,10.256783485290597,11.00077028912402,-0.7439868038334225,-0.06763042807729289
Sojourner,random_forest,range_km,2.4623210807366203,0.15,2.3123210807366203,15.41547387157747
Sojourner,random_forest,energy_margin_raw_pct,138.89899145956312,369.7421410128902,-230.8431495533271,-0.6243355137203018
Sojourner,random_forest,slope_capability_deg,6.949239736050405,4.926664112670481,2.0225756233799244,0.4105365369192166
Sojourner,random_forest,total_mass_kg,12.633215603048907,11.00077028912402,1.6324453139248867,0.1483937279863769
Sojourner,xgboost,range_km,2.86859393119812,0.15,2.71859393119812,18.1239595413208
Sojourner,xgboost,energy_margin_raw_pct,554.4572143554688,369.7421410128902,184.71507334257853,0.4995780920090979
Sojourner,xgboost,slope_capability_deg,5.21554708480835,4.926664112670481,0.28888297213786895,0.0586366282602694
Sojourner,xgboost,total_mass_kg,11.451288223266602,11.00077028912402,0.45051793414258157,0.04095330802316533
Sojourner,mlp_joint,range_km,38.23573732646406,0.15,38.08573732646406,253.90491550976043
Sojourner,mlp_joint,energy_margin_raw_pct,-946.4003198375727,369.7421410128902,-1316.142460850463,-3.5596225446332848
Sojourner,mlp_joint,slope_capability_deg,5.4338506888240214,4.926664112670481,0.5071865761535408,0.10294726097708783
Sojourner,mlp_joint,total_mass_kg,17.10039733062222,11.00077028912402,6.099627041498199,0.5544727215628376
Sojourner,logreg,motor_torque_ok,0.9718444650009361,1.0,-0.02815553499906387,
Sojourner,xgboost,motor_torque_ok,0.9918592572212219,1.0,-0.008140742778778076,
