rover,algorithm,target,predicted,evaluator,abs_error,rel_error,is_primary
Yutu-2,ridge,slope_capability_deg,20.25230899211138,20.97896300311567,-0.726654011004289,-0.03463727024526287,True
Yutu-2,ridge,total_mass_kg,69.54730295265182,70.4529657566495,-0.9056628039976857,-0.012854857056350496,True
Yutu-2,random_forest,range_km,2.7817120284806687,0.2,2.5817120284806685,12.908560142403342,False
Yutu-2,random_forest,energy_margin_raw_pct,907.4296885646029,649.7887812270878,257.64090733751505,0.3964994699523365,False
Yutu-2,random_forest,slope_capability_deg,21.857968195683707,20.97896300311567,0.8790051925680373,0.041899363302060864,True
Yutu-2,random_forest,total_mass_kg,69.7026539500854,70.4529657566495,-0.750311806564099,-0.01064982571714212,True
Yutu-2,xgboost,range_km,3.599564552307129,0.2,3.3995645523071287,16.99782276153564,False
Yutu-2,xgboost,energy_margin_raw_pct,932.0383911132812,649.7887812270878,282.2496098861934,0.43437131886638863,False
Yutu-2,xgboost,slope_capability_deg,20.751689910888672,20.97896300311567,-0.22727309222699787,-0.010833380667731034,True
Yutu-2,xgboost,total_mass_kg,70.04388427734375,70.4529657566495,-0.40908147930575467,-0.005806447960171849,True
Yutu-2,mlp_joint,range_km,0.7794864429671033,0.2,0.5794864429671034,2.8974322148355167,False
Yutu-2,mlp_joint,energy_margin_raw_pct,687.980994724456,649.7887812270878,38.19221349736813,0.05877635102478129,False
Yutu-2,mlp_joint,slope_capability_deg,20.808030856351277,20.97896300311567,-0.17093214676439317,-0.008147788178996614,True
Yutu-2,mlp_joint,total_mass_kg,70.43316370303509,70.4529657566495,-0.019802053614412785,-0.000281067708104876,True
Yutu-2,logreg,motor_torque_ok,0.9999996848817807,1.0,-3.1511821929619543e-07,,True
Yutu-2,xgboost,motor_torque_ok,0.999998927116394,1.0,-1.0728836059570312e-06,,True
MoonRanger,ridge,range_km,-1.5159125150274164,2.0,-3.5159125150274164,-1.7579562575137082,False
MoonRanger,ridge,energy_margin_raw_pct,-286.7434423069251,-77.01332414014557,-209.7301181667795,2.723296527041497,False
MoonRanger,ridge,slope_capability_deg,5.433814953854263,4.163570283621842,1.2702446702324215,0.305085439587548,True
MoonRanger,ridge,total_mass_kg,24.621282086892812,26.106383511575256,-1.485101424682444,-0.056886524478734025,True
MoonRanger,random_forest,range_km,7.112360261625128,2.0,5.112360261625128,2.556180130812564,False
MoonRanger,random_forest,energy_margin_raw_pct,124.22940070750741,-77.01332414014557,201.242724847653,-2.613089710053809,False
MoonRanger,random_forest,slope_capability_deg,7.9251396339274,4.163570283621842,3.7615693503055585,0.9034480251486022,True
MoonRanger,random_forest,total_mass_kg,27.464888688960283,26.106383511575256,1.3585051773850267,0.05203727957120839,True
MoonRanger,xgboost,range_km,11.927104949951172,2.0,9.927104949951172,4.963552474975586,False
MoonRanger,xgboost,energy_margin_raw_pct,14.480022430419922,-77.01332414014557,91.49334657056549,-1.1880197042796101,False
MoonRanger,xgboost,slope_capability_deg,6.200980186462402,4.163570283621842,2.037409902840561,0.4893420223636147,True
MoonRanger,xgboost,total_mass_kg,25.797359466552734,26.106383511575256,-0.3090240450225217,-0.011837106617448722,True
MoonRanger,mlp_joint,range_km,8.874855996527256,2.0,6.8748559965272555,3.4374279982636278,False
MoonRanger,mlp_joint,energy_margin_raw_pct,-531.1857587117408,-77.01332414014557,-454.17243457159526,5.897322828775857,False
MoonRanger,mlp_joint,slope_capability_deg,4.51604226767973,4.163570283621842,0.35247198405788804,0.08465618688950695,True
MoonRanger,mlp_joint,total_mass_kg,25.992761072828127,26.106383511575256,-0.11362243874712874,-0.004352285665946412,True
MoonRanger,logreg,motor_torque_ok,0.4497122968080784,1.0,-0.5502877031919216,,True
MoonRanger,xgboost,motor_torque_ok,0.8014128804206848,1.0,-0.19858711957931519,,True
Rashid-1,ridge,range_km,6.345013294382799,1.0,5.345013294382799,5.345013294382799,False
Rashid-1,ridge,energy_margin_raw_pct,757.5012807137139,158.57421816485925,598.9270625488546,3.7769510673304363,False
Rashid-1,ridge,slope_capability_deg,10.324425205795324,10.56986576629577,-0.24544056050044638,-0.023220783113734992,True
Rashid-1,ridge,total_mass_kg,19.117577023660715,20.59092974263286,-1.4733527189721443,-0.07155348191595325,True
Rashid-1,random_forest,range_km,3.8830707892173475,1.0,2.8830707892173475,2.8830707892173475,False
Rashid-1,random_forest,energy_margin_raw_pct,240.50205309845754,158.57421816485925,81.92783493359829,0.5166529331295411,False
Rashid-1,random_forest,slope_capability_deg,10.516456579495369,10.56986576629577,-0.05340918680040119,-0.005052967367921319,True
Rashid-1,random_forest,total_mass_kg,22.991935473394435,20.59092974263286,2.4010057307615753,0.11660501787786541,True
